3893,"Talk Number"
56,"38","江湖上最近盛传有个年轻小*毛头到处找“十四天书”　*想必就是你吧？　*找到几本书啦？　*快交出来。"
57,"39","你真卑鄙！"
58,"3A","我阎基做事向来只求结果，　*不问方法。**怎麽？还不拿出来，要大爷*我亲自动手吗？要知道书对*死人是没有意义的。"
59,"3B","倒要看看死的是你还是我。"
60,"3C","想不到少侠武功如此盖世，　*连西夏的悲酥清风都对你没*有作用，　*“十四天书”的确该是少侠*所有。"
61,"3D","转的倒是挺快的嘛，毛头小*子马上就变成少侠，难怪这*一点点武艺可以混到现在。"
62,"3E","小的这两下哪能和少侠相比*呢？混口饭吃罢了。**对了，小的略通点医术，少*侠是否有什麽病痛，小的帮*你看看。"
63,"3F","我看是算了吧，让你看病，*那岂不是让黄鼠狼给鸡把脉*一样的道理。"
64,"40","哪儿的话，那少侠就随便看*看，若不嫌弃的话，有什麽*喜欢的就拿去吧。"
65,"41","少侠请随便看看，　*有什麽喜欢的就拿去吧。"
66,"42","少侠近日可好，　*“十四天书”找齐了吗？　"
67,"43","干嘛！这麽关心书的下落。*如果找齐了，这次又准备了*什麽迷药伺候？　*“奇淫合欢散”还是*“我爱一条材”？"
68,"44","小的怎敢。倒是少侠刚才所*提的那两味药，不知是哪个*门派所有，是新配制出来的*吗？药效如何？　"
69,"45","是周星星配制出来的。药效*肯定是天下一流的。"
70,"46","＜他日若能够巧遇周大侠　*　一定得向他请教。＞"
71,"47","＜你遇得到才有鬼　＞"
72,"48","阎基，为何你家中有胡家刀*法的缺页？"
73,"49","胡家刀法，哦！那是我年轻*时在沧州无意间所获得的。"
74,"4A","你为什麽有我胡家刀法的缺*页？"
75,"4B","原来胡一刀的後人长这麽大*了。"
76,"4C","小时候平四叔曾告诉我，当*年害死我父亲的，一个跌打*医生也有份。　*不但如此，那跌打医生後来*还撕去几页胡家刀法。*莫非……那个人就是你！　"
77,"4D","没错，这家伙会医术，上次*还说要帮我看病。"
78,"4E","既然你们认出来，我也就没*什麽好隐瞒的了。*没错，那跌打医生就是我。"
79,"4F","你为什麽要帮苗人凤要害死*我父亲？"
80,"50","谁叫《雪山飞狐》一书在他*那儿呢？当初若不是让他们俩*傻呼呼地拼斗，*又在苗人凤剑上喂点毒药，　*我怎麽能坐收渔翁之利呢？　"
81,"51","可恶的家伙，替我父亲偿命*来。"
82,"52","若不是有准备，我怎敢说出*这些。**小娃儿，试试我的新玩意　*天下至毒的“七心海棠”。"
83,"53","太逊了吧！　*连三流货色也打不过……"
84,"54","少侠眼力真好，找到了我的*宝贝丹药。"
85,"55","怎麽，还想“暗杠”。*你这家伙倒也厉害，从哪弄*来这麽多宝贝？"
86,"56","你们是田归农请来的吧？　*神龙教何时跟田归农搭在一*起了？"
87,"57","还多亏了田兄，我们才知道*《飞狐外传》一书在你这。*识相的话就快将书交出来。"
88,"58","田归农呢？他怎麽不敢出来*见我．"
89,"59","我看你是见不到他了．*田兄从毒手药王那儿弄来的断*肠草粉末，药效也真够狠，　*现下你双眼已瞎，我看*“打遍天下无敌手”的金面*佛苗人凤，今日要上西天了．*兄弟们，上！　"
90,"5A","苗大侠，我帮你拿贼．"
91,"5B","小兄弟，你尊姓大名，　*与我可有渊源？　"
92,"5C","丈夫结交，但重义气，*只需肝胆相照，何必提名道*姓？"
93,"5D","好，苗人凤独来独往，生平*只有两个知交，一个是辽东*大侠胡一刀，　*另一个便是你这位不知姓名*没见过面的小兄弟．"
94,"5E","你说什麽？那你为何要杀死*胡大侠。"
95,"5F","这说来话长．．．"
96,"60","大哥，*我们先想办法救苗大侠，*这事以後再说．"
97,"61","苗大侠，既然这药是毒手药*王所配制，那我们去求毒手*药王救治，或能解得．"
98,"62","要求毒手药王吗？那是徒劳*往返，不用去了．"
99,"63","不，天下无难事！*这位毒手药王住在哪里？　"
100,"64","听说此人在洞庭湖畔隐居．"
101,"65","我这就去了！　"
102,"66","苗大侠，你要照顾好自己。　*等我从毒手药王那儿求取到解*药回来帮你医治。"
103,"67","苗大侠，我这就帮你敷上解*药．"
104,"68","苗大侠，你觉得怎麽样？"
105,"69","嗯，我觉得好多了．***少侠一路辛苦了，苗某不胜*感激，若苗家有任何你需要*的东西，请尽管拿取．*这毒手药王也真是厉害，用*毒至深，想不到医术也是一*流．"
106,"6A","药王他老人家已过世了，　*这解药是他徒弟调制的。"
107,"6B","难怪，当年我因为一件事曾*与药王有过冲突，所以当我*听说要去求毒手药王时，　*我就劝你不要去。"
108,"6C","是什麽事？　"
109,"6D","这一件事我到今日还是不能*明白．**十八年前，我误伤了一位好*友，只因兵刃上喂有剧毒．　*见血封喉，竟而无法挽救．*我想这毒药如此厉害，多半*与毒手药王有关，因此去向*他询问。*结果他一口否认，说他毫不*知情，想我一来不会说话，　*二来心情甚恶，就打了起来．"
110,"6E","如此说来，这位好朋友是你*亲手杀死的了？　"
111,"6F","是的．"
112,"70","这好朋友姓啥叫什麽？　"
113,"71","辽东大侠胡一刀．"
114,"72","当真是你杀了我父亲．"
115,"73","你是胡一刀的儿子！　*好，快来将我杀了，替你爹*报仇．"
116,"74","且慢。这中间有很大的误会．"
117,"75","有什麽误会，他都承认了．"
118,"76","你听我说，当年在苗大侠剑*上偷偷喂毒的是名叫阎基的*人．他因为知道苗、胡二人*身上有两本极重要的书，所*以在两人比武时偷偷喂上剧*毒，想让二人两败俱伤，　*他好坐收渔翁之利．只是　*当初你二人为何比试，才让*阎基这小人从中搞鬼？　"
119,"77","唉，当年我二人都因受过*“金先生”的恩惠．　**所以当他的书籍被人偷出　*我二人都想把书找齐送回去*．．．．*当时，我二人各找到一本，　*双方都想把对方的书夺来，*以便日後送回去，　*所以才相约比试．*其实，只要好好讲，或许我*们可以一起去找寻这些书．　*但可能是听双方名声太大，　*本就想互相较量一下．　**看看是他的胡家刀法厉害，　*还是我苗家剑法强．"
120,"78","这真是一场误会。***一切都是阎基那卑鄙小人所*引起的。所幸这个小人已无*法再作恶了。"
121,"79","照你这麽说，是我胡家刀法*比不上你苗家剑法，所以死*的才是我父亲．"
122,"7A","其实我心中有个遗憾，当年*我砍到令尊手臂时，同时我*也被令尊的後着踢倒在地，　*只因我剑上被喂上剧毒，　*令尊才会毒发死亡．**所以到底是何者功夫高明　*一直没有答案．**今天我看见你这麽大了，我*很高兴．但我更希望你能学*好胡家刀法，把我打败．　*让胡家刀法发扬光大，那我*对你爹也有个交待，**届时这位小兄弟想要的*《飞狐外传》一书也将一并*送上．*等你练好了胡家刀法，可随*时来找我．"
123,"7B","苗大侠，这中间有很大的误*会。"
124,"7C","有什麽误会？　"
125,"7D","你听我说，当年在苗大侠剑*上偷偷喂毒的是名叫阎基的*人．他因为知道苗、胡二人*身上有两本极重要的书，所*以在两人比武时偷偷喂上剧*毒．想让二人两败俱伤　*他好坐收渔翁之利．只是　*当初你二人为何比试，才让*阎基这小人从中搞鬼？　"
126,"7E","这真是一场误会．一切都是*阎基那卑鄙小人所引起的，　*所幸这个小人已无法再作恶*了，我会将这事转告给胡大*侠的儿子知道．"
127,"7F","你知道他儿子的下落，　*快带他来见我．"
128,"80","只怕他一看到你就想拼命．"
129,"81","其实我心中有个遗憾，当年*我砍到胡兄手臂时，我同时*也被胡兄的後着踢倒在地，　*只因我剑上被喂上剧毒，胡*兄才会毒发死亡。所以到底*是何者的功夫高明，一直没*有答案。***今天我知道胡家有後，我很*高兴。但我更希望他能学好*胡家刀法，把我打败，让胡*家刀法发扬光大，那我对他*爹也有个交待。**届时你想要的《飞狐外传》*一书也将送上。**麻烦你转告他，等他准备好*了，可随时来找我。"
130,"82","胡斐，你准备好了吗？　"
131,"83","不错，你有这样的武艺，你*爹也可放心了．来，把我杀*了，替你爹报仇．"
132,"84","兄弟，我们走吧。仇我已经*报了．"
133,"85","对嘛，这才是我的好大哥．"
134,"86","走之前，*拿了这把冷月宝刀，　*这是一把适合你的宝刀．*还有，这本书拿去吧，*希望能帮小兄弟解决困难．"
135,"87","再去好好琢磨琢磨．"
136,"88","麻烦你转告胡斐，等他准备*好了，可随时来找我．"
137,"89","小兄弟，行走江湖记得多行*侠仗义．"
138,"8A","呀呼！找到《飞狐外传》了．"
139,"8B","什麽味道这样香浓？我头好*昏，啊！难道这红树丛有毒*．．．．．"
140,"8C","咦！这是哪里？　*莫非我已昏厥多时？　*此处非平常之地．"
141,"8D","啊！又闻到这香味了，　*看来我又得昏倒了．"
142,"8E","又昏倒了，看来我得想想办*法才是．"
143,"8F","咦！头比较不晕了，反而有*股淡淡的微香，这朵蓝花真*是神奇．"
144,"90","这位姑娘，请问这里是药王*庄吗？　*＜莫非她就是毒手药王　＞"
145,"91","你到药王庄来所为何事？　"
146,"92","金面佛苗大侠中毒受伤，所*用毒药，乃奸人自前辈处盗*来，望前辈慈悲赐予解药．"
147,"93","哼！姜师兄又随意将毒药给*予外人，江湖上的人又将这*笔帐记在师父头上了。*这次又是中了什麽毒？　"
148,"94","原来毒手药王是你师父，害*我前辈长前辈短的乱叫。你*也不怕折寿吗？　"
149,"95","我又没叫你叫，是你自己爱*叫的。"
150,"96","还请姑娘请药王前辈出来，　*在下想向他求取断肠草的解*药。"
151,"97","我师父已经过世了。"
152,"98","那这该如何是好？　"
153,"99","这断肠草的毒并不太难解。"
154,"9A","原来姑娘已得到药王先生的*真传，还请姑娘惠赐解药。"
155,"9B","给你解药也是可以，只要你*帮我办一件事。"
156,"9C","什麽事？　"
157,"9D","你功夫好不好？　"
158,"9E","在下志在武林盟主，功夫自*然不差。"
159,"9F","口气倒是很大。*好，那我要你帮我找回一样*东西。"
160,"A0","什麽东西？　"
161,"A1","七心海棠。***这东西自从被我姜师兄盗出*去後，现在不知流落何方。**若不赶快找回来的话，不知*又有多少笔烂帐要记在我药*王庄的头上。"
162,"A2","那我要到哪里去找？　"
163,"A3","我如果知道还要你去找吗？　*不过你可以多留意一些滥施*毒药，迷药害人的家伙。"
164,"A4","尚不知姑娘芳名？　"
165,"A5","程灵素。"
166,"A6","那，灵姑娘，告辞了。"
167,"A7","找到七心海棠了吗？　*自己不行的话就多带些人去*找。"
168,"A8","你找到了？挺厉害的嘛！　*断肠草的解药在这　*拿去吧。"
169,"A9","灵姑娘用毒、医术都极为高*明。有你陪伴闯荡江湖，旅*程将会十分安稳。*不知姑娘是否肯随我们四处*走走呢？　"
170,"AA","是啊，姑娘一个人住这里，　*闷也闷慌了，就随我们到处*走走吧??"
171,"AB","看在胡公子的面子上，我就*陪你们到处玩一玩。"
172,"AC","你臭美啊，跟你在一起一定*很无聊。"
173,"AD","小子，还有事吗？　"
174,"AE","没事，没事。"
175,"AF","你的队伍已满，　*我无法加入．"
176,"B0","灵姑娘，请你先回药王庄，　*若有需要你帮忙时，我再去*找你。"
177,"B1","胡大哥，请你先回关外，　*若有需要你帮忙时，我再去*找你。"
178,"B2","石兄弟，请先回悦来客栈。*若有需要你帮忙时，我再去*找你。"
179,"B3","公子别来无恙？　"
180,"B4","灵姑娘，没有你这个大毒枭*在，旅途都不顺利，请再帮*忙我好吗？　"
181,"B5","好的。"
182,"B6","一切还好。"
183,"B7","祝公子旅途顺利。"
184,"B8","小兄弟别来无恙？　"
185,"B9","少了大哥胡家刀法助威，　*小弟办起事来总觉得不顺　*……"
186,"BA","那好吧，我就再助你一臂之*力。"
187,"BB","嗨，你好！*我到现在还没找到妈妈和小*黄。你呢，你还好吧？　"
188,"BC","我们再一起走，好不好？"
189,"BD","好啊，走吧！"
190,"BE","那你可得仔细找呦！　"
191,"BF","哇塞！这山洞有怪物住着，　*难道就是传说中的雪怪？*糟了，被发现了。"
192,"C0","这山洞中有那麽多雪怪，　*莫非藏有宝物？　*管他的，富贵险中求。"
193,"C1","咦，这岩壁上有个凹洞，　*好像是小刀的形状。"
194,"C2","这里有本书，书名是……*……《雪山飞狐》**原来《雪山飞狐》藏在这，　*胡大哥的军刀果然有用。**咦，这边有张字条，写些什*麽来着……**自受到金先生恩惠以来,　*即无时无刻不想着今生该如*何报答.*日前自恶人手中夺回《雪山飞狐》*一书，其余十三本则*还流落在外。　*吾发誓有生之年定要竭尽所*能将书找齐，送回圣堂……*今日看见此书书名，觉得非*常有意思，内人分娩日子将*近，如果生下男孩，就叫他*胡斐吧。*哈！“飞狐”　“胡斐”。*哈！哈！哈！有意思……*               胡一刀留*原来还有这段典故。"
195,"C3","你是谁？　*到这冰火岛上做什麽？　"
196,"C4","想不到这冰天雪地的荒岛上，*竟还有人居住。*前辈身体想必甚为健朗。"
197,"C5","听你的声音，还只是个年轻*小子。你们还有多少帮手　*一起出来吧。"
198,"C6","听我的声音？　*莫非前辈视力不是很好？"
199,"C7","别以为我谢逊眼睛瞎了就好*对付，你们这些想夺屠龙宝*刀的贼子，动手吧！　"
200,"C8","要杀要剐就上，废话少说。　"
201,"C9","我本就不想杀你，倒是这屠*龙刀日後可能对我有用，　*我就先留着了。"
202,"CA","你我无冤无仇，我们干嘛动*手。"
203,"CB","别以为我谢逊眼睛瞎了就好*对付，想拿屠龙宝刀就来吧！"
204,"CC","摸这形状，似乎是我明教的*铁焰令？　"
205,"CD","前辈就是金毛狮王谢逊吧？*我找前辈好久了，你们明教*的弟兄也正在找你。*你再不回去，明教就要四分*五裂了。"
206,"CE","你说什麽？　*我明教的弟兄怎麽了？"
207,"CF","现在是没怎麽样，六大派围*攻光明顶之危刚解决。六大*派的人近期内决不敢造次。*但是教中一日无主，彼此又*都不服对方，只怕时日一久*明教又会让人乘虚而入了。*事情的详细经过是这样的*……"
208,"D0","成昆这个老贼，不但与我有*不共戴天之仇，更是我明教*之大敌，我非杀了他不可。*本以为拿了这把号令天下的*屠龙刀，找出刀中的秘密後*便能杀了他。*但我钻研了十几年，始终无*法了解此刀之神奇奥妙。**唉，一日不解开此刀秘密，　*我就一日不离开冰火岛。"
209,"D1","前辈别担心这麽多，　*还是先随我回归中原，　*大家一起想个法子。"
210,"D2","别说了，你走吧。*一日不杀掉成昆，我是不会*回明教的。"
211,"D3","义父，孩儿无忌不孝，　*没能早日前来相接，　*累义父受尽辛苦。"
212,"D4","你．．你说什麽？　"
213,"D5","孩儿便是无忌啊．"
214,"D6","你．．你说什麽？　"
215,"D7","拳学之道在凝神，　*意在力先方制胜。　*．．．"
216,"D8","这．．这不是昔日我所授与*我那无忌孩儿的口诀吗？　*你当真便是我那无忌孩儿？　"
217,"D9","义父！义父！"
218,"DA","老天爷开眼！老天爷开眼！　*无忌孩儿，你这几年来过得*还好吗？　"
219,"DB","孩儿过得很好、*今天多亏了这位大哥，　*我们父子俩才能团聚．*义父，你跟我们一起回中土*吧．"
220,"DC","你过得很好，义父就很高兴*了．义父还要待在这思考对*付成昆的办法，你走吧．*记着︰闯荡江湖千万要提防*小人，就算是自己的师父　*义兄都一样．"
221,"DD","前辈，别来无恙？　"
222,"DE","哼，你又来做什麽？"
223,"DF","义父，你跟我们一起回中土*吧．"
224,"E0","谢前辈，　*这是成昆的项上人头，*成昆作恶多端已遭天谴．"
225,"E1","是吗？哈！哈！　*成昆啊，成昆！　*你作恶多端终遭天谴，　*但，可惜啊！可惜！*我不能亲手杀了你．　"
226,"E2","成昆一事已了，谢大侠还是*尽快回到中土，以免明教四*分五裂．"
227,"E3","少侠为我明教付出许多，谢*某感激不尽．待我将这儿料里*完毕後，定当赶回明教．*到时还望少侠前来我明教作*客．**唉，成昆已死，这把屠龙刀*我留着还有什麽用呢？　*屠龙刀就送给你好了．"
228,"E4","想不到在这山的後面　*竟还有这般的世外桃源．"
229,"E5","嗨，你叫什麽名字？　*一个人躲在这深山中做什*麽？　"
230,"E6","我叫张无忌，　*你怎麽也进来了？　"
231,"E7","我是无意间找到这地方的．*喂，你是不是有自闭症啊？**还是一个人躲在深山中练仙*术呀．"
232,"E8","自闭症？那是什麽病啊？　*胡伯伯的医书中并没有提过*此病症．*其实，我是中了玄冥神掌的*寒毒，是一种不治之症．"
233,"E9","可是我看你脸色很好啊，　*不像是快死的人．"
234,"EA","我也觉得奇怪，按理说　*我应该在几年前就应死的，　*现在反而都不会发病了．"
235,"EB","你是不是吃了什麽仙丹妙药*啊？　"
236,"EC","大概是四、五年前吧，　*我离开蝴蝶谷後，无意间*发现了这个世外桃源．　*想说能死在这里也不错，　*就决定留在这里等死．**几年前我碰巧救了一只大白*猿，在它的肚中发现了一本*经书，好像是一本修练内功*的书．我想闲来无事，就照*着练了起来．**另外，这里的一些水果啊、　*白鱼啊，食用後也都令我精*神百倍．*该不会就是这些遭遇，　*才让我到现在还没死．"
237,"ED","依我看，你非但是死不了，　*而且还练了一身绝世武功．　*想来该是你的一番奇缘．*在这里这麽久了，难道你不*想出去走走？　"
238,"EE","我本自以为将死，所以一直*待在这．但经你这麽一说，　*我现在倒有一点想出去．*我想回武当山看看太师父，　*还有就是去找寻我义父．"
239,"EF","你义父？　"
240,"F0","是啊，我义父是金毛狮王谢*逊．他双眼失明，还一个人*待在无人荒岛上．"
241,"F1","我义父好可怜，一个人不知*道在荒岛上过得怎麽样，　*真想见他一面．"
242,"F2","这．．这一撮金毛是．．"
243,"F3","你义父是不是长的一头*金发？　"
244,"F4","是啊．义父人称金毛狮王，　*当然是满头的金发．"
245,"F5","那没错了，我曾在北方的一*个荒岛上见过他．"
246,"F6","真的？　*你知道荒岛的位置吗？　*快带我去找他．"
247,"F7","好啊，我就带你去找他．"
248,"F8","谢谢这位大哥．"
249,"F9","这恐怕不行，　*我还有许多要事在身，　*无法带你去找他．"
250,"FA","．．．．．．"
251,"FB","你能带我去找义父吗？　"
252,"FC","<听说近来六大派要攻打*明教，这里戒备如此森严*，不会就是这里吧>请问*这里是不是明教?我是从*中原来的．"
253,"FD","从中原来的？近来不断有*六大派的人来骚扰想必这*也是六大派的爪牙．来人*啊,把他抓起来．"
254,"FE","我．．．．"
255,"FF","是什麽人?"
256,"100","不知小兄弟是哪派的高徒*？竟然硬闯了进来*其他五派的人呢？　"
257,"101","在下并非六大派的人． *此次前来明教是想打听一本*书的下落．"
258,"102","是《倚天屠龙记》吧？　"
259,"103","江湖上传言果然非假．　*《倚天屠龙记》一书果然在*明教中．*不知前辈可否借小弟一用？"
260,"104","借你一用？*哼！你没将我们明教瞧*在眼里．　*是不是仗着我明教大难之际*来捡现成便宜？　"
261,"105","事情并非如此．实在是*这本书对我十分重要　*我非得到它不可．"
262,"106","小兄弟，明教本无意为难*你，但当今大难之际，只*好由不得你了．"
263,"107","我并不是来与明教为难的．　*杨左使还是留点气力对付*六大派好了．"
264,"108","我倒看看你有什麽能耐．*出招吧！　"
265,"109","杨左使，我早就说了，我*不是来寻仇的，这不？白*耗力气．"
266,"10A","吉凶祸福，咱们明教早就*置之度外．．．"
267,"10B","哈！哈！哈！*打得好，打得好．"
268,"10C","哪里来的贼秃在那鬼吼鬼*叫的？"
269,"10D","你是谁？是怎麽混进我明*教的？"
270,"10E","你问我成昆怎麽进来的，　*当然是大摇大摆走进来的．**还多亏了这小朋友，替我省*下一番功夫．"
271,"10F","你是混元霹雳手成昆？　*谢法王的师父？　"
272,"110","没错．　*我就是谢逊的师父．**拜他的鲁莽所赐，你们和六*大派结下了这麽多梁子．*　　　　　　　　　　　*今天起明教就将化为灰烬，　*也了结了我多年来的心愿．"
273,"111","要是我猜的没错，　*这中间的一切都是*你苦心安排的．"
274,"112","你这小子倒还蛮聪明的嘛．***没错，激起谢逊的愤怒，　*让他到处乱杀人．　*留下我的名字好激我现身，　*到最後再故意让江湖人知道．*其实是明教谢逊所为，引起*江湖各大派与明教间仇杀，　*这一切都是我精心计划的．"
275,"113","你为何要如此做？　"
276,"114","要问就去问你们前任教主*阳顶天。我原本一桩美好的*姻缘却被他活生生拆散了*．若不是阳顶天当上魔教教*主，我师妹也决计不会*嫁给这个大上她二十多岁*之人．阳顶天是死了，我*奈何他不得，但魔教还是*在世上横行．当时我指着*阳顶天和我师妹两人的屍*身，说道：‘我成昆立誓*要竭尽所能，覆灭明教．大*功告成之日，当来两位之*前自刎相谢．"
277,"115","不行，　*我得快点赶回光明顶．"
278,"116","不用赶回去死了，　*你死在这就可以了．"
279,"117","老秃驴，　*你们这些大恶人怎麽每次都喜*欢将自己的坏勾当讲出来．*是不是以为我们这些好人都*会死掉，无法揭发你的阴谋？*　*杨左使，韦蝠王，你门*先赶回光明顶，　*这个秃驴交给我好了．"
280,"118","哼，就凭你？"
281,"119","你．．你．．真的行吗？　"
282,"11A","对付他，没问题！"
283,"11B","这老贼溜的倒快，　*没时间追他了．　*我得赶快赶去光明顶才是．"
284,"11C","大侠，大侠，　*请高抬贵手，不要杀我．　*我可以跟你讲个秘密，　*阳教主常常在房间中无缘*无故消失不见，本教教主*都会仙术，你要小心．"
285,"11D","我不会杀你的，　*快去包紮包紮．"
286,"11E","六大派的家伙，识时务的就*快滚．否则就让你葬身在*明教分舵中．"
287,"11F","吸血蝙蝠，你还总算有护*教之心，难得赶回来了．*比我这老鹰还先一步到达．"
288,"120","哪里，哪里．明教这麽多*年四分无裂，现今又逢大*难，我若再不赶回来，那*是真对不起阳教主了．"
289,"121","鹰王多年不见，这次不也*赶回来了？"
290,"122","哈哈哈，老夫是明教四大*护教法王之一，虽已自树*门户，但明教有难，岂能*置身事外？今日大不了*有死而已．"
291,"123","这小子是谁，怕是六大派*的後援，先将他拿下再说*！"
292,"124","鹰王，我们先进去再说．*这小子一会儿再对付他．"
293,"125","魔教已然一败涂地，　*再不投降，　*还待怎的．　*玄慈大师，　*咱们这便去毁了魔教三十三*代教主的牌位吧．　"
294,"126","什麽投不投降．　*魔教之众　*今日不能留下任何活口．*除恶务尽，　*否则他日死灰复燃，　*又将为害江湖．*魔崽子们，　*识时务的快快自我了断，　*省得大爷们动手．"
295,"127","圆真这恶贼当真是千刀万剐，难抵其罪，一番花言巧语，请出这三位数十年不问世事的高僧来．"
296,"128","想不到我白眉鹰王今天*虎落平阳—被犬欺．"
297,"129","哈哈哈，魔教今天一败涂*地，我们六大派今天要杀*光妖孽，灭了你们这自称*永不熄灭的圣火．　"
298,"12A","白眉鹰王，我念你是一代*宗师，鹰爪功和我们少林*龙爪手天下齐名，你自尽*吧！"
299,"12B","．．．．．"
300,"12C","姓殷的，还不动手？"
301,"12D","少侠非魔教人士，　*还请速速离去，　*以免受池鱼之殃．"
302,"12E","那好，大家都别打了，因为*这中间着实有极大误会，　*六大派和明教之间的这些*恩怨，实为混元霹雳手成*昆挑拨所至．他投入少林*门下，法名圆真，昨晚他*混入明教内堂，亲口对明*教首脑人物吐露此事，杨*逍先生和韦蝠王等皆曾听*闻，此事千真万确．"
303,"12F","施主，你如何胡言乱语，*一再污蔑我少林门下？当*此天下英雄之前，少林名*誉岂能容你随口污蔑？"
304,"130","大师不必动怒，请圆真僧*出来跟晚辈对质，便知真*相．"
305,"131","施主一再提及敝师侄圆真*之名，你年纪轻轻，何以*存心如此险恶？"
306,"132","在下是要请圆真和尚出*来，在天下英雄之前分辨*是非黑白，怎地存心险恶*了？"
