15713,"Talk Number"
341,"155","啊，听爷爷说过，你是好人。"
342,"156","靖哥哥，芙儿，我们先一起把两位圣人的尸体埋葬好，然后尽快带这孩子回桃花岛吧。"
343,"157","也好！"
344,"158","孩子，以后你就住在桃花岛吧。这是你郭伯伯，我是你郭伯母。以后你便叫我们师父师娘吧。这是我爹爹，你叫他黄公公吧。"
345,"159","什么黄公公？跟太监似的。叫我黄老邪！"
346,"15A","爹，你小点声，别吓坏了孩子。"
347,"15B","哼！你这死丫头，嫁了个蠢丈夫，又弄了一堆孩子来桃花岛，净会给你爹添乱。"
348,"15C","黄老邪，这么多年了，你还说靖儿蠢。我看你才蠢，你现在根本不是靖儿的降龙十八掌的对手！"
349,"15D","靖儿，你想跟我过招么？"
350,"15E","大师傅，岳父，你们两个怎么一见面就吵架啊。"
351,"15F","行了行了，两个老家伙，也不知道在孩子面前收敛点。孩子，来，见过你柯公公！"
352,"160","柯，柯公公。"
353,"161","恩"
354,"162","这是我的两个女儿，芙儿和襄儿。这是敦儒、修文、过儿。"
355,"163","孩子，在这里你要和他们几个一起学习武艺，你愿意学谁的武功呢？"
356,"164","我，我，刚才柯公公说你的降龙十八掌厉害，我就要学这个，我长大了要给南贤和北丑两位爷爷报仇。"
357,"165","好孩子，有志气。不过你郭伯伯的降龙十八掌，你现在还不能学，你还太小。学武功必须从低级到高级逐步修炼才行。你现在只能学一些入门的功夫。如果你要跟郭伯伯学，他会教你使刀。你黄公公会教你使拳，你柯公公会教你使一些特殊兵器，而我会教你使剑，你愿意跟谁学？"
358,"166","好了，天色不早了，都回屋休息吧。"
359,"167","过儿，以后你们两人住同一个房间。"
360,"168","你，跟我来吧。"
361,"169","就这样，"
362,"16A","就这样，&&在桃花岛度过了童年时光。"
363,"16B","你想和谁学武功？"
364,"16C","郭靖"
365,"16D","黄蓉"
366,"16E","黄药师"
367,"16F","柯镇恶"
368,"170","嘿嘿，小子，有眼光！我就把我家传的柯氏降魔杖传授给你！"
369,"171","哈哈，你很会挑师傅嘛！这套碧波掌，是我桃花岛的入门武功，就传给你吧！"
370,"172","好孩子，这套越女剑法，是靖哥哥的七师父韩晓莹留下来的，我就传授与你吧！"
371,"173","我四师傅的这套南山刀法，法度严谨，是刀法入门之基础，我就传授给你吧！"
372,"174","加油！"
373,"175","加油啊！"
374,"176","大将军，咬他，咬他啊！啊……怎么，怎么会这样？"
375,"177","〈看来，这局又是杨师兄要赢了，唉，这已经是最后一只了，那只黑蟋蟀，真是厉害〉"
376,"178","啊……姐姐也输了……"
377,"179","哈哈哈，怎么样？我这只小黑，可比你们的大将军大都督什么的，都要厉害得多罢？"
378,"17A","杨过你！哼，姓杨的你别得意，我们明天再比过！"
379,"17B","芙妹，等等我！"
380,"17C","还有我。"
381,"17D","哼，比就比，谁怕谁？&&师弟，襄儿师妹，你们明日来是不来？"
382,"17E","这……明儿师娘还要考察早课……"
383,"17F","来，当然要来！杨师哥你的小黑咬坏了我两只蟋蟀，我定要报仇，哼哼，你等着瞧罢"
384,"180","唉，襄儿这傻丫头怎么跟着他们三个去了？他们有三个人，瞧见什么好蟋蟀还不都被他们先下手为强？&&师弟，你不去帮襄儿师妹找找？明儿你当真不来了么？"
385,"181","我……"
386,"182","我去瞧瞧襄儿"
387,"183","我还是先回房温书去"
388,"184","襄儿，你怎么一个人在这里？师姐跟两位武师兄他们呢？"
389,"185","姐姐，姐姐跟武师兄他们……呜呜呜……他们……他们把大蟋蟀都抢去啦！杨师哥不肯让我，你也不来帮我，我，我不要理你们了，呜……"
390,"186","襄儿！襄儿，唉……〈她没找到蟋蟀，明儿便玩不成了，心里一定不快活，我去替她抓一只罢〉"
391,"187","没挖到，再来！"
392,"188","哈哈哈！终于给我抓到了，这只蟋蟀雄壮得紧，襄儿一定喜欢！"
393,"189","啾啾！……<<各位观众，现在出场的就是江湖四大美男子东俊西帅南炫北酷之西帅，掌声欢迎！>>"
394,"18A","呀，天亮了？我……我抓蟋蟀居然抓了这么久？咳，不管了，去找襄儿吧"
395,"18B","襄儿，襄儿！"
396,"18C","……"
397,"18D","襄儿，我带了好东西给你！"
398,"18E","娘待会要考早课，你别来烦我，我要温书！"
399,"18F","（还在跟我闹别扭……）**襄儿，我抓到大蟋蟀啦！"
400,"190","啾啾！**<<美女，看我俊不俊？>>"
401,"191","呀！好俊的蟋蟀！"
402,"192","啾啾！**<<我西帅绝非浪得虚名！>>"
403,"193","嘻嘻，有了它，就不怕杨师哥的小黑啦！&&师兄，我们快去找姐姐和杨师哥他们！"
404,"194","呃……那个，早课……"
405,"195","唉呀师兄你还磨蹭什么，走啦！"
406,"196","（哭叫）师父，师父，我弟弟死了，我弟弟死了！"
407,"197","怎么回事？！"
408,"198","大武哥，大武哥！**姐姐，小武哥怎么了？"
409,"199","杨过，杨过把小武哥打死了……哇啊！"
410,"19A","什么？！"
411,"19B","还好，小武师兄还有气息，只是昏过去了。杨师兄，你……你怎么下这么重的手？"
412,"19C","杨师哥，你说话啊，我们一起想个法子，不然爹娘一定会重罚你的"
413,"19D","不要你们管！哼，师父师娘要打我罚我给武修文出气，就让他们打死我好了。我杨过岂能向人摇尾乞怜？"
414,"19E","（委屈）杨师哥你……"
415,"19F","（大怒）杨过！襄儿只是想帮你，你却在她身上出气，算什么英雄好汉？你瞪我做什么？有胆做却没胆让别人说么？你是大师兄，功夫自然了得，好罢，你以大欺小打伤小武哥，现下便再打伤我，又算什么？"
416,"1A0","&&师兄，别说了！"
417,"1A1","以大欺小？大师兄？哈哈，刚刚若不是义父教我的蛤蟆功，我这个大师兄，已被三个师弟师妹活活闷死在沙地里啦！"
418,"1A2","？！！！"
419,"1A3","原来，原来是姐姐先踏死了小黑……杨师哥，妈妈她当真一点儿功夫也没传你么？"
420,"1A4","郭师妹，你既不信我说的，又何必再来问我？"
421,"1A5","我……"
422,"1A6","杨师兄襄儿你们别吵啦！大武师兄和师姐定是回去告状了，咱们怎生想个法儿……"
423,"1A7","欧阳锋在哪里！"
424,"1A8","糟了，柯公公来了！"
425,"1A9","啊，还有爹和娘！杨师哥，你快躲起来！"
426,"1AA","（冷冷地）来不及了"
427,"1AB","杨过，欧阳锋在哪里？"
428,"1AC","这蛤蟆功他甚么时候教你的？"
429,"1AD","师娘，杨师兄他……"
430,"1AE","娘……"
431,"1AF","没你们的事，回房去！"
432,"1B0","可是师娘……"
433,"1B1","&&，你和襄儿先回去罢"
434,"1B2","……**是，师父"
435,"1B3","可是，杨师哥他……"
436,"1B4","襄儿，你连爹娘的话也不听了么？放心，你杨师哥并没打死了小武，爹和娘不会对他怎样的，听娘的话，先回房去"
437,"1B5","襄儿，走吧"
438,"1B6","唉，大家好好的斗蟋蟀，怎么变成这个样子？"
439,"1B7","啾啾！<<唉，都怪我出场晚了一点点>>"
440,"1B8","师兄，师兄！不好啦！"
441,"1B9","襄儿？怎么了？你怎么哭了？！"
442,"1BA","呜……爹爹妈妈，爹爹妈妈要把杨师哥送到什么全真教去学艺，呜呜，我怎么劝都不成"
443,"1BB","啊？师父师娘要把杨师兄送走？这，这错并不在杨师兄身上啊！襄儿你别急，咱们一起去说！"
444,"1BC","不必去了，你师父跟杨过已经上船了"
445,"1BD","！"
446,"1BE","师娘，杨师兄他只是错手打伤了小武师兄，为什么……"
447,"1BF","唉，十几年前的恩怨，一时也未必说得清，你们只须记住，从今以后杨过再非我桃花岛门人，“杨师兄”三字，莫要再出口了"
448,"1C0","杨师哥，杨师哥他走了……"
449,"1C1","襄儿……**（这只蟋蟀，大概是再也用不上了罢……）"
450,"1C2","啾啾！<<这可是我西帅的告别演出，各位观众，我爱你们……>>"
451,"1C3","啊？师父师娘要把杨师兄送走？这，这是怎么回事？襄儿你别急，咱们一起去说！"
452,"1C4","师娘，杨师兄，杨师兄他到底犯了什么……"
453,"1C5","十四年后"
454,"1C6","柯公公早安。"
455,"1C7","早。"
456,"1C8","大武师兄，小武师兄，郭师姐，你们都已经来啦。"
457,"1C9","当然了。自从爹娘去镇守襄阳，我看你啊就不认真练武了，每天都迟到！"
458,"1CA","我，我哪有？"
459,"1CB","师傅师娘去襄阳这么久了，也没什么消息。"
460,"1CC","是啊，连师公也出去云游天下，好几年没回桃花岛了。"
461,"1CD","大师公，你最疼我了。我们每天待在桃花岛都快闷死了，不如带我们一起出去玩吧？"
462,"1CE","这个……"
463,"1CF","啊！！！！！！"
464,"1D0","是襄儿！"
465,"1D1","出什么事了？"
466,"1D2","快去看看。"
467,"1D3","你们看，你们快看！"
468,"1D4","到底是什么，快告诉我！"
469,"1D5","这不是咱们家的双雕么？"
470,"1D6","好像受了很重的伤"
471,"1D7","不知是被谁打伤的……"
472,"1D8","快看，双雕的脚上"
473,"1D9","脚上有什么？"
474,"1DA","有块布，染着血迹……好像……好像是外公衣服上的……"
475,"1DB","什么！！"
476,"1DC","大师公，怎么办啊？"
477,"1DD","以黄老邪的武功，天下能胜得了他的恐怕没有几个。"
478,"1DE","但是……"
479,"1DF","双雕受了这么重的伤，眼见活不成了。外公定是遇到了什么危险，危急之中撕下衣服上的布条，让双雕来给爹娘报信。"
480,"1E0","可是，谁能胜得了外公啊？"
481,"1E1","说不定是中了什么人设的诡计，或者一群人打他老人家一个。"
482,"1E2","可是我们桃花岛没什么仇人呀？"
483,"1E3","我看还是尽快通知师父师娘吧。"
484,"1E4","芙儿，你今早不是说要出去闯荡江湖么？这样吧，你们五个人一起去襄阳，把这件事向你爹娘汇报。"
485,"1E5","大师公，你同意啦。"
486,"1E6","我老啦，眼睛又瞎，又多年未离桃花岛。这江湖上的事，知道的越来越少了。你们年轻人，应该多出去闯荡闯荡。借这个机会，你们去吧，一路小心，别走散了。"
487,"1E7","好呀，我早就想出去玩玩了。"
488,"1E8","从桃花岛出去，坐上船，先到^2码头^^。从码头上岸，离襄阳城就不太远了。"
489,"1E9","我们知道的，以前师父师娘带我们走过。码头的坐标是^2（316 ，164 ）^^。"
490,"1EA","事不宜迟，我们马上出发。"
491,"1EB","我去拿罗盘。"
492,"1EC","别忘了带上盘缠。"
493,"1ED","怎么？忘记了？码头的坐标是（316 ，164 ）啊！**还要记住，武功秘籍必须修炼才有效果。襄儿平时只顾着跟蓉儿学奇门五行之术，这武功却是耽搁了，唉，这群孩子，还真是让人担心啊……"
494,"1EE","喂喂喂，你们几个，别往前走了，这个码头现在不允许任何人通过！"
495,"1EF","凭什么？你们是什么人？"
496,"1F0","哎呀，小子还挺横！我们是什么人，你不用管。告诉你，这个码头现在不允许任何人通过。想活命就乖乖给我滚蛋。"
497,"1F1","你--！"
498,"1F2","慢着。"
499,"1F3","白龙使大人，您有什么吩咐。"
500,"1F4","你们怎么这么粗鲁啊，人家不就是要过去嘛。这样吧，两个女娃娃留下来陪哥几个开开心，说不定老子心情一好，就放你们过去了……"
501,"1F5","哈哈，还是大人您想的周到。"
502,"1F6","呸！无耻！"
503,"1F7","呦喝，这小丫头还挺横，嘿嘿，是我喜欢的类型。"
504,"1F8","哼，你们知道我是谁吗？我外公是桃花岛主，我大师公是飞天蝙蝠，我爹爹是北侠郭靖，我妈妈是丐帮帮主……"
505,"1F9","郭靖黄蓉的女儿？弟兄们，把他们给我拿下，重重有赏！"
506,"1FA","糟了！"
507,"1FB","他们人多，咱们不是对手，快跑。"
508,"1FC","码头通不过去，怎么办？"
509,"1FD","是呀，快点想办法呀，他们马上就追来了。"
510,"1FE","咱去跟他们拼了。"
511,"1FF","不可鲁莽。"
512,"200","那你说怎么办？"
513,"201","你们别吵了，这里硬闯是不行的了。咱们先坐船回桃花岛，安顿好了再想对策。也许柯公公知道他们是什么人。"
514,"202","好，事不宜迟，快走！"
515,"203","怎么会这样？"
516,"204","大师公、大师公、你醒醒啊……"
517,"205","大师公……"
518,"206","怎么办……怎么办……"
519,"207","柯公公他……已经走了……"
520,"208","呜呜……呜呜……"
521,"209","大师公……呜呜……"
522,"20A","……"
523,"20B","是谁害死了大师公？呜呜……呜呜……"
524,"20C","芙妹，别哭，有我呢。"
525,"20D","对啊，芙妹，有我们在，别害怕！"
526,"20E","你们在有什么用？你们说，下面我们怎么办？"
527,"20F","这个……"
528,"210","我们回去找港口那帮人拼了，说不定就能杀过去！"
529,"211","不行，他们人那么多，武功也比我们高，再回去就等于去送死。"
530,"212","那怎么办？……呜呜……"
531,"213","姐姐，你别哭了，咱们还是想一想该去哪里吧！"
532,"214","去哪里？我们还能去哪里？没法去找爹爹妈妈，外公不知道在哪里，我们还能去哪？"
533,"215","我倒是想到一个去处。"
534,"216","襄儿妹妹，你主意最多了，你说咱们该怎么办？"
535,"217","我们可以去找一灯爷爷。"
536,"218","对啊，祖师爷爷武功出神入化，我们去找他。"
537,"219","好啊好啊，一灯爷爷一定能把我们送到襄阳城去。"
538,"21A","一灯爷爷的家我没去过，怎么走啊？"
539,"21B","这个我清楚，从桃花岛坐船，看见大陆后，沿着岸边一路向南，在^2佛山镇^^登陆后，再向西走到^2无量山^^。祖师爷就隐居在^2无量山^^中。"
540,"21C","没错，师父师娘带我们去过。那^1佛山镇^^是在^2（419 ，331 ）^^，我们准能找到。"
541,"21D","那好，我们就去找一灯爷爷。"
542,"21E","百损道人"
543,"21F","火工头陀"
544,"220","葵花太监"
545,"221","林远图"
546,"222","请输入对话内容，每隔12个汉字加一个星号*"
547,"223","请输入对话内容，每隔12个汉字加一个星号*"
548,"224","请输入对话内容，每隔12个汉字加一个星号*"
549,"225","请输入对话内容，每隔12个汉字加一个星号*"
550,"226","请输入对话内容，每隔12个汉字加一个星号*"
551,"227","请输入对话内容，每隔12个汉字加一个星号*"
552,"228","请输入对话内容，每隔12个汉字加一个星号*"
553,"229","请输入对话内容，每隔12个汉字加一个星号*"
554,"22A","请输入对话内容，每隔12个汉字加一个星号*"
555,"22B","请输入对话内容，每隔12个汉字加一个星号*"
556,"22C","请输入对话内容，每隔12个汉字加一个星号*"
557,"22D","请输入对话内容，每隔12个汉字加一个星号*"
558,"22E","请输入对话内容，每隔12个汉字加一个星号*"
559,"22F","请输入对话内容，每隔12个汉字加一个星号*"
560,"230","请输入对话内容，每隔12个汉字加一个星号*"
561,"231","请输入对话内容，每隔12个汉字加一个星号*"
562,"232","请输入对话内容，每隔12个汉字加一个星号*"
563,"233","请输入对话内容，每隔12个汉字加一个星号*"
564,"234","请输入对话内容，每隔12个汉字加一个星号*"
565,"235","请输入对话内容，每隔12个汉字加一个星号*"
566,"236","请输入对话内容，每隔12个汉字加一个星号*"
567,"237","请输入对话内容，每隔12个汉字加一个星号*"
568,"238","请输入对话内容，每隔12个汉字加一个星号*"
569,"239","请输入对话内容，每隔12个汉字加一个星号*"
570,"23A","请输入对话内容，每隔12个汉字加一个星号*"
571,"23B","请输入对话内容，每隔12个汉字加一个星号*"
572,"23C","请输入对话内容，每隔12个汉字加一个星号*"
573,"23D","请输入对话内容，每隔12个汉字加一个星号*"
574,"23E","请输入对话内容，每隔12个汉字加一个星号*"
575,"23F","请输入对话内容，每隔12个汉字加一个星号*"
576,"240","请输入对话内容，每隔12个汉字加一个星号*"
577,"241","请输入对话内容，每隔12个汉字加一个星号*"
578,"242","请输入对话内容，每隔12个汉字加一个星号*"
579,"243","请输入对话内容，每隔12个汉字加一个星号*"
580,"244","请输入对话内容，每隔12个汉字加一个星号*"
581,"245","请输入对话内容，每隔12个汉字加一个星号*"
582,"246","请输入对话内容，每隔12个汉字加一个星号*"
583,"247","请输入对话内容，每隔12个汉字加一个星号*"
584,"248","请输入对话内容，每隔12个汉字加一个星号*"
585,"249","请输入对话内容，每隔12个汉字加一个星号*"
586,"24A","请输入对话内容，每隔12个汉字加一个星号*"
587,"24B","请输入对话内容，每隔12个汉字加一个星号*"
588,"24C","请输入对话内容，每隔12个汉字加一个星号*"
589,"24D","请输入对话内容，每隔12个汉字加一个星号*"
590,"24E","请输入对话内容，每隔12个汉字加一个星号*"
591,"24F","请输入对话内容，每隔12个汉字加一个星号*"
592,"250","请输入对话内容，每隔12个汉字加一个星号*"
593,"251","请输入对话内容，每隔12个汉字加一个星号*"
594,"252","请输入对话内容，每隔12个汉字加一个星号*"
595,"253","请输入对话内容，每隔12个汉字加一个星号*"
596,"254","请输入对话内容，每隔12个汉字加一个星号*"
597,"255","请输入对话内容，每隔12个汉字加一个星号*"
598,"256","请输入对话内容，每隔12个汉字加一个星号*"
599,"257","请输入对话内容，每隔12个汉字加一个星号*"
600,"258","点什么点，就是你自己！"
601,"259","主角之师，敦厚重义，放弃蒙古金刀驸马尊荣回归中原，与妻黄蓉力守襄阳十余载，江湖上人人皆称一声郭大侠，出自《射雕英雄传》《神雕侠侣》。"
602,"25A","桃花岛主黄药师独生爱女，郭靖之妻，主角师母，曾任丐帮帮主，智计绝伦，女中诸葛，出自《射雕英雄传》《神雕侠侣》。"
603,"25B","华山派岳不群的大弟子，嗜酒如命，游走在正邪之间的江湖浪子，出自《笑傲江湖》"
604,"25C","石清和闽柔的次子，为梅芳姑所掳，称其“狗杂种”，因为误得玄铁令而被谢烟客带往摩天岭，意外练出一身雄厚内力，后因容貌相似被多次误认为长乐帮主石中玉，出自《侠客行》。"
605,"25D","张翠山跟殷素素的独生子，谢逊的义子，因为屠龙刀的秘密在武当山痛失双亲同时也身患不解之症，但之后因缘巧合习得九阳神功，祛除寒毒，个性仁厚，出自《倚天屠龙纪》"
606,"25E","辽东大侠胡一刀的独生子，因为父亲在比武中遭人暗算身亡，受平阿四抚养长大。使单刀，轻功高超，出自《雪山飞狐》和《飞狐外传》。"
